Jugador,Edad,Convocados,Partidos_Jugados,Partidos_Titular,Minutos,Goles,Amarillas,Rojas,Equipo,Posicion,Pct_Titularidad,Minutos_por_Partido,Partidos_90,Goles_p90,Amarillas_p90,Rojas_p90,Tarjetas_p90,Pct_Participacion,Pct_Titularidad_Real,Minutos_por_Convocatoria,Tarjetas_Totales,Disciplina,Impacto_Ofensivo,Confianza_CT,Jugador_Problema,Posicion_Limpia,Peso_Equipo,Rank_Impacto_Ofensivo,Rank_Confianza_CT,Rank_Pct_Titularidad_Real,Rank_Disciplina,Rank_Peso_Equipo
Cutillas Cano,,13,9,5,427,0.0,3,0,Atletico Algorfa,Portero,0.5555555555555556,47.44444444444444,4.7444444444444445,0.0,0.6323185011709602,0.0,0.6323185011709602,0.6923076923076923,0.38461538461538464,32.84615384615385,3,0.00702576112412178,0.0,47.44444444444444,True,Portero,0.5692307692307692,151.0,216.0,46.0,71.0,100.0
Josan Martínez Navarro,27.0,15,5,5,450,0.0,0,0,Atletico Algorfa,Portero,1.0,90.0,5.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,30.0,0,0.0,0.0,90.0,False,Portero,0.3333333333333333,151.0,4.0,50.0,280.0,121.0
Toni Rocamora Sanz,,15,10,10,900,0.0,0,0,Atletico Algorfa,Portero,1.0,90.0,10.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,60.0,0,0.0,0.0,90.0,False,Portero,0.6666666666666666,151.0,4.0,26.0,280.0,83.0
Aoi Tezuka,,13,13,12,1035,3.0,0,0,Atletico Algorfa,Lateral Izquierdo,0.9230769230769231,79.61538461538461,11.5,0.2608695652173913,0.0,0.0,0.0,1.0,0.9230769230769231,79.61538461538461,0,0.0,1.810997401486818,79.61538461538461,False,Defensa,0.9692307692307692,68.0,60.0,5.0,280.0,4.0
Miguel Cañizares Menarguez,23.0,14,14,14,1215,3.0,3,1,Atletico Algorfa,Líbero,1.0,86.78571428571429,13.5,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.37037037037037035,1.0,1.0,86.78571428571429,5,0.00411522633744856,1.578333190172144,86.78571428571429,False,Líbero,1.0,75.0,16.0,1.0,158.0,1.0
Tony Ferrándiz Cortés,20.0,4,4,4,328,0.0,0,0,Atletico Algorfa,Central,1.0,82.0,3.6444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,82.0,0,0.0,0.0,82.0,False,Central,1.0,151.0,44.0,1.0,280.0,1.0
Holly Hernández Mula,28.0,0,0,0,0,0.0,0,0,Atletico Algorfa,Media punta,,,0.0,,,,,,,,0,,,,False,Media punta,,,,,,
Ivo Plamenov Gochev,34.0,3,3,1,61,0.0,0,0,Atletico Algorfa,Centrocampista,0.3333333333333333,20.333333333333332,0.6777777777777778,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,20.333333333333332,0,0.0,0.0,20.333333333333332,False,Centrocampista,0.7333333333333333,151.0,305.0,50.0,280.0,65.0
Jordi Vega Carrillo,36.0,1,1,0,29,0.0,0,0,Atletico Algorfa,Medio Centro,0.0,29.0,0.32222222222222224,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0,0.0,0.0,29.0,False,Medio Centro,0.6,151.0,280.0,68.0,280.0,96.0
Kevin Caicedo Martínez,28.0,8,6,3,350,0.0,1,0,Atletico Algorfa,Medio Centro,0.5,58.333333333333336,3.888888888888889,0.0,0.2571428571428572,0.0,0.2571428571428572,0.75,0.375,43.75,1,0.002857142857142857,0.0,58.333333333333336,False,Medio Centro,0.6,151.0,175.0,47.0,199.0,96.0
Sory Sangare Diarra,20.0,6,6,3,317,0.0,4,0,Atletico Algorfa,Medio Centro,0.5,52.833333333333336,3.522222222222222,0.0,1.135646687697161,0.0,1.135646687697161,1.0,0.5,52.833333333333336,4,0.012618296529968454,0.0,52.833333333333336,True,Medio Centro,0.8,151.0,197.0,37.0,25.0,50.0
Watanabe,29.0,13,13,12,1109,0.0,1,0,Atletico Algorfa,Centrocampista,0.9230769230769231,85.3076923076923,12.322222222222223,0.0,0.0811541929666366,0.0,0.0811541929666366,1.0,0.9230769230769231,85.3076923076923,1,0.0009017132551848512,0.0,85.3076923076923,False,Centrocampista,0.9692307692307692,151.0,22.0,5.0,272.0,4.0
Abdul Segun Busari,25.0,11,10,2,230,0.0,0,0,Atletico Algorfa,Delantero Centro,0.2,23.0,2.5555555555555554,0.0,0.0,0.0,0.0,0.9090909090909091,0.18181818181818182,20.90909090909091,0,0.0,0.0,23.0,False,Delantero Centro,0.6181818181818182,151.0,296.0,58.0,280.0,93.0
Dinu,27.0,14,14,14,1178,5.0,8,0,Atletico Algorfa,Delantero,1.0,84.14285714285714,13.088888888888889,0.38200339558573854,0.6112054329371817,0.0,0.6112054329371817,1.0,1.0,84.14285714285714,8,0.006791171477079796,2.7013650372624696,84.14285714285714,True,Delantero,1.0,39.0,30.0,1.0,76.0,1.0
Rocamora Ortuño,21.0,6,5,2,207,1.0,1,1,Atletico Algorfa,Delantero Centro,0.4,41.4,2.3,0.4347826086956522,0.4347826086956522,0.4347826086956522,1.3043478260869565,0.8333333333333334,0.3333333333333333,34.5,3,0.014492753623188406,2.3185733883762474,41.4,True,Delantero Centro,0.6333333333333333,45.0,243.0,50.0,20.0,89.0
Alberto Pacheco Niñerola,,14,13,10,723,0.0,2,1,Atletico Algorfa,Sin especificar,0.7692307692307693,55.61538461538461,8.033333333333333,0.0,0.24896265560165975,0.12448132780082988,0.4979253112033195,0.9285714285714286,0.7142857142857143,51.642857142857146,4,0.005532503457814661,0.0,55.61538461538461,False,Sin especificar,0.842857142857143,151.0,186.0,24.0,112.0,40.0
David De Mira,,15,14,6,594,0.0,3,0,Atletico Algorfa,Sin especificar,0.42857142857142855,42.42857142857143,6.6,0.0,0.4545454545454546,0.0,0.4545454545454546,0.9333333333333333,0.4,39.6,3,0.005050505050505051,0.0,42.42857142857143,False,Sin especificar,0.72,151.0,237.0,45.0,129.0,68.0
Hugo Rodes Peco,,9,2,0,13,0.0,0,0,Atletico Algorfa,Sin especificar,0.0,6.5,0.14444444444444443,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,1.4444444444444444,0,0.0,0.0,6.5,False,Sin especificar,0.13333333333333333,151.0,321.0,68.0,280.0,131.0
Jose Manarel Pomares,,7,4,1,87,0.0,1,0,Atletico Algorfa,Sin especificar,0.25,21.75,0.9666666666666667,0.0,1.0344827586206897,0.0,1.0344827586206897,0.5714285714285714,0.14285714285714285,12.428571428571429,1,0.011494252873563218,0.0,21.75,True,Sin especificar,0.39999999999999997,151.0,301.0,61.0,30.0,120.0
José Aniorte Antón,23.0,14,14,11,1016,1.0,3,0,Atletico Algorfa,Sin especificar,0.7857142857142857,72.57142857142857,11.28888888888889,0.08858267716535433,0.26574803149606296,0.0,0.26574803149606296,1.0,0.7857142857142857,72.57142857142857,3,0.002952755905511811,0.6133135595791914,72.57142857142857,False,Sin especificar,0.9142857142857143,134.0,101.0,18.0,196.0,18.0
Michael Aladesanmi Sánchez,,12,12,12,950,1.0,5,0,Atletico Algorfa,Sin especificar,1.0,79.16666666666667,10.555555555555555,0.09473684210526316,0.4736842105263158,0.0,0.4736842105263158,1.0,1.0,79.16666666666667,5,0.005263157894736842,0.6495595564352766,79.16666666666667,False,Sin especificar,1.0,130.0,64.0,1.0,121.0,1.0
Omar Blasco Tarí,26.0,14,14,12,1048,0.0,1,0,Atletico Algorfa,Sin especificar,0.8571428571428571,74.85714285714286,11.644444444444444,0.0,0.08587786259541985,0.0,0.08587786259541985,1.0,0.8571428571428571,74.85714285714286,1,0.0009541984732824427,0.0,74.85714285714286,False,Sin especificar,0.9428571428571428,151.0,86.0,12.0,267.0,10.0
Rafael De Hoyos,,8,8,6,1488,0.0,5,1,Atletico Algorfa,Sin especificar,0.75,186.0,16.533333333333335,0.0,0.30241935483870963,0.06048387096774193,0.4233870967741935,1.0,0.75,186.0,7,0.004704301075268817,0.0,186.0,False,Sin especificar,0.9,151.0,1.0,21.0,139.0,22.0
Santiago Gomez Illescas,,13,12,8,653,0.0,0,0,Atletico Algorfa,Sin especificar,0.6666666666666666,54.416666666666664,7.2555555555555555,0.0,0.0,0.0,0.0,0.9230769230769231,0.6153846153846154,50.23076923076923,0,0.0,0.0,54.416666666666664,False,Sin especificar,0.8,151.0,193.0,29.0,280.0,50.0
Silvestre Paniccia,,3,3,1,115,0.0,0,0,Atletico Algorfa,Sin especificar,0.3333333333333333,38.333333333333336,1.2777777777777777,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,38.333333333333336,0,0.0,0.0,38.333333333333336,False,Sin especificar,0.7333333333333333,151.0,255.0,50.0,280.0,65.0
Stephen Gyamfi,,4,4,3,307,0.0,0,0,Atletico Algorfa,Sin especificar,0.75,76.75,3.411111111111111,0.0,0.0,0.0,0.0,1.0,0.75,76.75,0,0.0,0.0,76.75,False,Sin especificar,0.9,151.0,77.0,21.0,280.0,22.0
Jesper Petersen,,15,3,3,180,0.0,1,0,Atletico Jonense,Portero,1.0,60.0,2.0,0.0,0.5,0.0,0.5,0.2,0.2,12.0,1,0.005555555555555556,0.0,60.0,False,Portero,0.2,151.0,165.0,57.0,111.0,128.0
Joan Lloret García,20.0,15,13,13,1170,0.0,1,0,Atletico Jonense,Portero,1.0,90.0,13.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.8666666666666667,0.8666666666666667,78.0,1,0.0008547008547008547,0.0,90.0,False,Portero,0.8666666666666667,151.0,4.0,11.0,274.0,31.0
Juanjo Andreu Dechef,23.0,16,16,16,1350,0.0,2,0,Atletico Jonense,Lateral Derecho,1.0,84.375,15.0,0.0,0.13333333333333333,0.0,0.13333333333333333,1.0,1.0,84.375,2,0.0014814814814814814,0.0,84.375,False,Defensa,1.0,151.0,28.0,1.0,252.0,1.0
Lloret Soriano,27.0,13,13,8,663,0.0,6,0,Atletico Jonense,Central,0.6153846153846154,51.0,7.366666666666666,0.0,0.8144796380090498,0.0,0.8144796380090498,1.0,0.6153846153846154,51.0,6,0.00904977375565611,0.0,51.0,True,Central,0.8461538461538461,151.0,203.0,29.0,47.0,38.0
Martín Adam Corrales,33.0,15,14,14,1133,1.0,7,0,Atletico Jonense,Lateral Derecho,1.0,80.92857142857143,12.588888888888889,0.0794351279788173,0.5560458958517212,0.0,0.5560458958517212,0.9333333333333333,0.9333333333333333,75.53333333333333,7,0.00617828773168579,0.5586374082016952,80.92857142857143,False,Defensa,0.9333333333333333,143.0,48.0,3.0,94.0,13.0
Pedro Sánchez Garrido,42.0,15,15,15,1101,0.0,2,0,Atletico Jonense,Lateral Izquierdo,1.0,73.4,12.233333333333333,0.0,0.16348773841961853,0.0,0.16348773841961853,1.0,1.0,73.4,2,0.0018165304268846503,0.0,73.4,False,Defensa,1.0,151.0,96.0,1.0,239.0,1.0
Pinky Morales Devesa,25.0,15,14,5,535,1.0,1,0,Atletico Jonense,Lateral Izquierdo,0.35714285714285715,38.214285714285715,5.944444444444445,0.16822429906542055,0.16822429906542055,0.0,0.16822429906542055,0.9333333333333333,0.3333333333333333,35.666666666666664,1,0.001869158878504673,1.0568299200385805,38.214285714285715,False,Defensa,0.6933333333333332,104.0,257.0,50.0,235.0,76.0
Xavi Garcia Torregrosa,23.0,14,11,3,400,0.0,1,0,Atletico Jonense,Central,0.2727272727272727,36.36363636363637,4.444444444444445,0.0,0.22499999999999998,0.0,0.22499999999999998,0.7857142857142857,0.21428571428571427,28.571428571428573,1,0.0025,0.0,36.36363636363637,False,Central,0.5571428571428572,151.0,264.0,56.0,211.0,103.0
Alex Rodriguez Abdelkader,23.0,7,7,6,470,1.0,1,0,Atletico Jonense,Medio Centro,0.8571428571428571,67.14285714285714,5.222222222222222,0.19148936170212766,0.19148936170212766,0.0,0.19148936170212766,1.0,0.8571428571428571,67.14285714285714,1,0.002127659574468085,1.1781828564327008,67.14285714285714,False,Medio Centro,0.9428571428571428,94.0,135.0,12.0,223.0,10.0
Felipe Urrios Vicent,37.0,10,10,9,698,0.0,0,0,Atletico Jonense,Medio Centro,0.9,69.8,7.7555555555555555,0.0,0.0,0.0,0.0,1.0,0.9,69.8,0,0.0,0.0,69.8,False,Medio Centro,0.96,151.0,114.0,8.0,280.0,6.0
Isma Hamia Hakim,29.0,14,14,9,618,1.0,5,0,Atletico Jonense,Pivote Defensivo,0.6428571428571429,44.142857142857146,6.866666666666666,0.14563106796116507,0.7281553398058253,0.0,0.7281553398058253,1.0,0.6428571428571429,44.142857142857146,5,0.008090614886731391,0.9358963772996638,44.142857142857146,True,Pivote Defensivo,0.8571428571428572,111.0,231.0,27.0,62.0,34.0
Jaume Sellés Torregrosa,,13,12,2,265,1.0,0,0,Atletico Jonense,Medio Centro,0.16666666666666666,22.083333333333332,2.9444444444444446,0.33962264150943394,0.0,0.0,0.0,0.9230769230769231,0.15384615384615385,20.384615384615383,0,0.0,1.8950025824104149,22.083333333333332,False,Medio Centro,0.6153846153846154,63.0,299.0,60.0,280.0,95.0
Jose Haro Bragado,,14,14,7,653,1.0,3,0,Atletico Jonense,Centrocampista,0.5,46.642857142857146,7.2555555555555555,0.13782542113323124,0.41347626339969373,0.0,0.41347626339969373,1.0,0.5,46.642857142857146,3,0.004594180704441042,0.8933260974500441,46.642857142857146,False,Centrocampista,0.8,113.0,220.0,37.0,144.0,50.0
Martinez Lopez,,11,10,1,273,2.0,4,0,Atletico Jonense,Centrocampista,0.1,27.3,3.033333333333333,0.6593406593406593,1.3186813186813187,0.0,1.3186813186813187,0.9090909090909091,0.09090909090909091,24.818181818181817,4,0.014652014652014652,3.6985528319900833,27.3,True,Centrocampista,0.5818181818181818,22.0,287.0,65.0,19.0,98.0
Ñeco Bueno,28.0,13,12,4,396,0.0,1,0,Atletico Jonense,Media punta,0.3333333333333333,33.0,4.4,0.0,0.22727272727272727,0.0,0.22727272727272727,0.9230769230769231,0.3076923076923077,30.46153846153846,1,0.0025252525252525255,0.0,33.0,False,Media punta,0.676923076923077,151.0,273.0,51.0,209.0,79.0
Rubio Martínez,34.0,16,16,16,1333,2.0,3,0,Atletico Jonense,Interior Derecho,1.0,83.3125,14.811111111111112,0.1350337584396099,0.20255063765941483,0.0,0.20255063765941483,1.0,1.0,83.3125,3,0.002250562640660165,0.971593186520756,83.3125,False,Interior Derecho,1.0,108.0,39.0,1.0,218.0,1.0
Younes Hamia Hakim,24.0,14,14,13,1988,1.0,3,1,Atletico Jonense,Interior Izquierdo,0.9285714285714286,142.0,22.08888888888889,0.04527162977867203,0.1358148893360161,0.04527162977867203,0.22635814889336017,1.0,0.9285714285714286,142.0,5,0.0025150905432595573,0.34383279418988266,142.0,False,Interior Izquierdo,0.9714285714285714,150.0,2.0,4.0,210.0,3.0
Aránega Gómez,,9,9,4,341,0.0,3,1,Atletico Jonense,Delantero,0.4444444444444444,37.888888888888886,3.7888888888888888,0.0,0.7917888563049854,0.26392961876832843,1.3196480938416422,1.0,0.4444444444444444,37.888888888888886,5,0.01466275659824047,0.0,37.888888888888886,True,Delantero,0.7777777777777778,151.0,258.0,41.0,18.0,54.0
